id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
"2021-1603363","2021-07-08","1","Vente","700000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","550","63.39","651","nan","None","nan","None","None","None","None","2","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2021-1603363","2021-07-08","1","Vente","700000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","597","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2021-1601691","2021-07-01","1","Vente","110000.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","107","22.67","None","nan","None","nan","None","None","None","None","1","2","Appartement","23.0","1","None","None","None","None","None","2.373846","48.860916","000BB"
"2021-1602919","2021-06-29","1","Vente","570000.0","86","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0017","None","None","18","nan","None","nan","None","nan","None","None","None","None","1","2","Appartement","55.0","3","None","None","None","None","None","2.375157","48.860539","000BB"
"2021-1602919","2021-06-29","1","Vente","570000.0","86","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0017","None","None","37","51.27","None","nan","None","nan","None","None","None","None","1","2","Appartement","66.0","2","None","None","None","None","None","2.375157","48.860539","000BB"
"2021-1601433","2021-06-29","1","Vente","35900.0","76","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0010","None","None","418","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.373846","48.860916","000BB"
"2021-1602919","2021-06-29","1","Vente","570000.0","86","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0017","None","None","37","51.27","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.375157","48.860539","000BB"
"2021-1602919","2021-06-29","1","Vente","570000.0","86","None","BD VOLTAIRE","9907","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0017","None","None","18","nan","None","nan","None","nan","None","None","None","None","1","3","Dépendance","nan","0","None","None","None","None","None","2.375157","48.860539","000BB"
"2021-1601703","2021-06-28","1","Vente","302000.0","8","None","IMP TRUILLOT","9489","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0014","None","None","71","26.97","None","nan","None","nan","None","None","None","None","1","2","Appartement","35.0","2","None","None","None","None","None","2.37449","48.860429","000BB"
"2021-1600770","2021-06-17","1","Vente","520000.0","68","None","BD RICHARD LENOIR","8208","75011","75111","Paris 11e Arrondissement","75","None","None","75111000BB0038","None","None","1052","nan","1084","52.02","None","nan","None","None","None","None","2","2","Appartement","54.0","2","None","None","None","None","None","2.373428","48.860671","000BB"
